,D2002,D2003,D2004,D2005,D2006,D2007,D2008,D2009,D2010,D2011,D2012,D2013,D2014,D2015,D2016,D2017,D2018,D2019,D2020,D2021,D2022,D2023,D2024,D2025,D2026,D2027,D2028,D2029,D2030,D2031,age,voted
17,1,4,4,2,2,9,9,9,1,931,2,7,2,99,999,9,9,9,3,7,3,99,6,9,1000,121,14,999,999,4,26,TRUE
18,2,3,1,2,2,9,9,9,1,911,2,2,3,7,996,9,2,4,9,2,0,99,5,9,1101,121,1,999,999,4,70,TRUE
19,1,3,1,2,2,9,9,9,5,832,2,2,3,8,999,9,9,9,3,5,2,99,1,9,1101,121,2,999,999,4,56,TRUE
20,2,3,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,6,3,99,1,9,1101,121,2,999,999,4,24,FALSE
21,2,6,1,2,2,9,9,9,7,235,1,1,3,7,996,9,2,4,9,2,0,99,3,9,1101,121,1,999,999,4,76,TRUE
22,1,4,1,2,2,9,9,9,1,514,4,2,3,1,514,4,2,3,9,2,0,99,6,9,1101,121,1,999,999,4,39,TRUE
23,1,2,4,2,2,9,9,9,1,723,4,2,2,99,999,9,9,9,4,1,0,99,2,9,1101,121,10,999,999,4,60,TRUE
27,1,7,4,2,2,9,9,9,1,751,2,2,2,99,999,9,9,9,5,2,0,99,9,9,8300,121,1,999,999,4,37,TRUE
28,2,1,2,2,2,9,9,9,7,911,2,2,3,99,999,9,9,9,1,7,5,99,6,9,1000,121,2,999,999,4,68,TRUE
31,1,3,1,2,2,9,9,9,1,931,2,1,2,8,999,9,9,9,1,4,0,99,9,9,8300,121,2,999,999,4,43,TRUE
32,2,3,1,2,8,9,9,9,10,999,9,9,9,1,931,2,2,2,3,5,3,99,1,9,1101,121,2,999,999,4,37,TRUE
35,2,3,1,2,1,9,9,9,1,996,9,1,4,1,541,1,1,3,3,3,1,99,1,9,1101,121,11,999,999,2,44,TRUE
36,1,2,3,2,2,9,9,9,7,931,2,1,2,99,999,9,9,9,3,1,0,99,6,9,1000,121,13,999,999,2,70,TRUE
37,1,4,4,2,2,9,9,9,1,931,4,2,2,99,999,9,9,9,2,6,4,99,9,9,8300,121,13,999,999,2,33,TRUE
38,1,3,4,2,2,9,9,9,1,512,1,2,3,99,999,9,9,9,1,2,0,99,6,9,1101,121,9,999,999,4,54,TRUE
39,2,4,4,2,2,9,9,9,1,522,4,2,3,99,999,9,9,9,9,2,1,99,2,9,1101,121,2,999,999,4,37,TRUE
40,2,3,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,3,5,1,99,6,9,1000,121,9,999,999,4,24,FALSE
41,1,3,4,1,1,9,9,9,6,999,9,9,9,99,999,9,9,9,2,5,0,99,4,9,1101,121,14,999,999,4,24,FALSE
42,1,3,1,2,2,9,9,9,1,752,2,2,2,1,911,4,2,3,2,3,1,99,1,9,9998,121,2,999,999,4,49,TRUE
43,1,6,1,2,2,9,9,9,1,952,4,2,3,1,522,1,2,3,5,5,0,99,6,9,1101,121,11,999,999,2,62,FALSE
44,2,2,3,2,2,9,9,9,7,634,2,2,1,99,999,9,9,9,1,4,1,99,9,9,8300,121,2,999,999,4,67,TRUE
45,1,2,3,2,2,9,9,9,1,751,2,2,2,99,999,9,9,9,4,5,4,99,1,9,1101,121,12,999,999,4,53,TRUE
46,2,3,1,8,2,9,9,9,1,996,9,2,4,1,931,2,2,2,4,6,2,99,4,9,1101,121,11,999,999,2,44,TRUE
47,1,2,1,2,2,9,9,9,5,962,4,2,3,10,999,9,9,9,1,6,4,99,1,9,1101,121,4,999,999,2,38,TRUE
48,2,3,1,2,2,9,9,9,1,911,2,2,3,1,832,2,2,3,3,5,0,99,9,9,8300,121,1,999,999,4,64,TRUE
49,1,2,4,2,2,9,9,9,5,911,2,2,3,99,999,9,9,9,4,4,1,99,9,9,8300,121,10,999,999,4,30,TRUE
50,2,4,1,2,2,9,9,9,8,999,9,9,9,1,911,2,2,3,2,5,3,99,2,9,1101,121,2,999,999,4,36,TRUE
51,2,4,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,1,2,1,99,2,9,1101,121,2,999,999,2,37,TRUE
52,1,4,4,2,2,9,9,9,1,142,4,2,3,99,999,9,9,9,3,1,99,99,1,9,9600,121,8,999,999,4,36,TRUE
53,2,4,4,1,1,9,9,9,8,522,1,9,3,99,999,9,9,9,2,7,3,99,1,9,1101,121,3,999,999,4,29,TRUE
54,2,3,1,2,1,9,9,9,1,531,4,2,3,1,132,1,2,3,5,5,3,99,6,9,1000,121,11,999,999,2,35,TRUE
55,2,4,1,2,2,9,9,9,1,754,2,2,2,5,541,1,2,3,3,7,4,99,1,9,1101,121,2,999,999,4,42,TRUE
58,1,3,4,2,2,9,9,9,1,931,2,2,2,99,999,9,9,9,2,5,0,99,2,9,1101,121,4,999,999,2,30,TRUE
60,1,4,1,2,2,9,9,9,1,723,4,2,2,8,999,9,9,9,4,3,1,99,1,9,1101,121,9,999,999,4,66,TRUE
61,2,4,1,2,2,9,9,9,8,999,9,9,9,1,541,1,1,3,4,4,2,99,1,9,1101,121,2,999,999,2,31,TRUE
62,2,4,3,2,2,9,9,9,1,911,4,2,3,99,999,9,9,9,1,4,1,99,4,9,1000,121,1,999,999,4,56,FALSE
63,1,2,4,2,1,9,9,9,97,931,2,9,2,99,999,9,9,9,2,3,0,99,6,9,1101,121,14,999,999,4,52,TRUE
64,1,2,1,2,2,9,9,9,1,933,4,2,9,5,911,2,2,3,3,4,2,99,6,9,1101,121,5,999,999,4,42,TRUE
66,2,4,1,2,2,9,9,9,1,422,1,2,3,1,996,9,2,4,9,6,3,99,6,9,1101,121,9,999,999,4,45,TRUE
67,2,5,1,2,1,9,9,9,1,911,2,2,3,1,996,9,1,4,4,5,3,99,9,9,8300,121,11,999,999,2,34,TRUE
68,1,2,4,2,2,9,9,9,1,522,1,2,3,99,999,9,9,9,2,6,3,99,9,9,8300,121,2,999,999,4,27,FALSE
69,2,3,1,2,2,9,9,9,8,999,9,9,9,1,311,1,2,3,9,4,1,99,3,9,1101,121,2,999,999,4,62,TRUE
70,2,6,1,2,2,9,9,9,1,911,4,2,3,7,997,7,2,7,3,5,0,99,4,9,1101,121,3,999,999,4,73,TRUE
71,1,3,4,2,2,9,9,9,5,723,4,2,2,99,999,9,9,9,9,7,3,99,1,9,1101,121,2,999,999,4,27,TRUE
72,1,2,1,2,2,9,9,9,1,515,1,2,3,8,999,9,9,9,4,3,1,99,1,9,1101,121,1,999,999,4,48,TRUE
73,1,6,4,2,2,9,9,9,1,142,4,2,3,99,999,9,9,9,3,3,0,99,4,9,1101,121,8,999,999,4,32,TRUE
74,1,3,1,1,2,9,9,9,1,996,9,1,4,8,999,9,9,9,4,6,4,99,3,9,1101,121,8,999,999,4,69,TRUE
76,2,2,4,2,2,9,9,9,1,524,4,2,3,99,999,9,9,9,3,1,99,99,1,9,9998,121,2,999,999,4,56,TRUE
77,1,2,1,2,2,9,9,9,1,931,4,2,2,7,999,9,7,9,2,2,0,99,3,9,1101,121,7,999,999,4,68,TRUE
78,2,4,4,2,1,9,9,9,1,262,1,1,3,99,999,9,9,9,1,5,3,99,1,9,1101,121,2,999,999,2,32,TRUE
79,2,5,1,2,2,9,9,9,8,999,9,9,9,1,712,2,2,2,9,6,1,99,2,9,1101,121,2,999,999,4,68,TRUE
80,1,3,4,2,2,9,9,9,5,996,9,8,4,99,999,9,9,9,3,3,0,99,5,9,1000,121,10,999,999,4,34,TRUE
81,2,2,2,2,2,9,9,9,1,141,4,2,3,99,999,9,9,9,1,2,1,99,1,9,1101,121,10,999,999,4,57,FALSE
82,2,2,2,2,2,9,9,9,7,911,2,2,3,99,999,9,9,9,1,1,97,99,6,9,1000,121,10,999,999,4,78,FALSE
84,2,2,1,2,2,9,9,9,1,334,1,2,3,1,931,2,2,2,9,3,1,99,1,9,1101,121,2,999,999,4,28,FALSE
85,1,4,4,2,2,9,9,9,1,813,2,2,2,99,999,9,9,9,4,7,2,99,2,9,1101,121,2,999,999,4,36,TRUE
86,2,3,4,2,2,9,9,9,1,911,2,2,3,99,999,9,9,9,1,5,4,99,2,9,1101,121,4,999,999,2,52,TRUE
87,2,4,1,2,2,9,9,9,8,999,9,9,9,1,752,2,2,2,3,2,0,99,4,9,1101,121,2,999,999,4,63,FALSE
88,1,5,1,2,1,9,9,9,1,911,2,2,3,1,911,2,1,3,3,3,1,99,9,9,8300,121,9,999,999,4,31,TRUE
90,2,1,2,2,2,9,9,9,7,911,4,2,3,99,999,9,9,9,1,3,1,99,3,9,1101,121,4,999,999,2,80,FALSE
91,2,5,4,2,1,9,9,9,6,999,9,9,9,99,999,9,9,9,5,4,1,99,3,9,1101,121,12,999,999,4,25,TRUE
92,2,5,1,1,1,9,9,9,1,235,1,1,3,1,235,1,1,3,3,4,2,99,6,9,1101,121,7,999,999,4,51,TRUE
94,2,5,3,2,2,9,9,9,1,235,1,2,3,99,999,9,9,9,9,4,1,99,1,9,1101,121,1,999,999,4,32,TRUE
95,2,2,4,2,2,9,9,9,1,531,1,2,3,99,999,9,9,9,2,3,0,99,1,9,1101,121,10,999,999,4,35,TRUE
96,2,2,1,2,2,9,9,9,10,999,9,9,9,1,832,2,2,3,3,10,4,99,2,9,1101,121,2,999,999,4,65,TRUE
97,1,3,4,2,2,9,9,9,7,712,4,2,2,99,999,9,9,9,3,3,0,99,2,9,1101,121,14,999,999,4,76,TRUE
99,1,4,4,2,2,9,9,9,1,524,1,2,3,99,999,9,9,9,3,1,0,99,9,9,8300,121,14,999,999,4,36,TRUE
100,1,2,1,1,8,9,9,9,1,818,2,2,2,5,818,2,2,2,3,3,1,99,1,9,1101,121,8,999,999,4,36,TRUE
101,1,2,3,2,2,9,9,9,1,611,4,2,1,99,999,9,9,9,1,2,0,99,1,9,1101,121,4,999,999,2,64,TRUE
102,2,4,4,2,2,9,9,9,1,521,4,2,3,99,999,9,9,9,9,4,1,99,1,9,1101,121,2,999,999,4,34,TRUE
104,1,7,2,1,2,9,9,9,1,235,1,1,3,99,999,9,9,9,4,1,99,99,4,9,1101,121,2,999,999,2,75,TRUE
105,1,3,1,2,2,9,9,9,1,931,4,2,2,8,999,9,9,9,4,6,2,99,5,9,1000,121,5,999,999,4,46,TRUE
106,2,4,1,2,2,9,9,9,1,996,9,2,4,1,931,2,2,2,9,4,1,99,1,9,1101,121,2,999,999,4,36,FALSE
107,1,3,4,2,2,9,9,9,1,512,1,2,3,99,999,9,9,9,2,6,1,99,9,9,8300,121,6,999,999,4,24,FALSE
109,1,4,1,1,2,9,9,9,1,996,9,2,4,8,999,9,9,9,3,5,2,99,1,9,1101,121,2,999,999,4,47,TRUE
110,1,4,1,2,2,9,9,9,1,142,1,2,3,1,522,1,2,3,9,5,2,99,4,9,9600,121,2,999,999,4,42,TRUE
111,2,6,1,2,2,9,9,9,8,999,9,9,9,1,334,1,2,3,9,4,1,99,2,9,1101,121,1,999,999,4,46,TRUE
112,2,1,1,2,2,9,9,9,8,999,9,9,9,7,931,2,2,2,3,3,0,99,6,9,1000,121,10,999,999,4,74,TRUE
113,1,3,1,2,8,9,9,9,1,522,1,2,3,10,999,9,9,9,9,4,2,99,9,9,8300,121,2,999,999,4,31,TRUE
114,2,7,4,2,2,9,9,9,1,221,4,2,3,99,999,9,9,9,9,1,99,99,3,9,1101,121,4,999,999,4,53,TRUE
115,2,1,4,2,2,9,9,9,1,911,2,2,3,99,999,9,9,9,1,9,5,99,2,9,1101,121,14,999,999,4,30,TRUE
116,1,5,1,2,2,9,9,9,1,741,2,2,3,8,999,9,9,9,3,3,1,99,2,9,1101,121,2,999,999,4,41,FALSE
117,2,4,4,2,2,9,9,9,5,911,2,8,3,99,999,9,9,9,1,4,97,99,1,9,1101,121,2,999,999,4,45,TRUE
118,2,4,1,1,2,9,9,9,1,222,1,1,3,7,814,2,2,2,4,5,0,99,4,9,1101,121,5,999,999,4,67,TRUE
120,1,4,3,2,2,9,9,9,1,962,2,2,3,99,999,9,9,9,4,3,0,99,2,9,1101,121,2,999,999,4,32,TRUE
121,2,3,1,2,2,9,9,9,8,999,9,9,9,1,818,2,2,2,3,5,3,99,6,9,1000,121,2,999,999,4,36,TRUE
122,1,7,4,2,2,9,9,9,1,235,1,1,3,99,999,9,9,9,3,2,0,99,1,9,1101,121,1,999,999,4,36,TRUE
124,2,4,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,2,7,4,99,6,9,1000,121,7,999,999,4,25,FALSE
125,2,4,1,2,2,9,9,9,8,999,9,9,9,1,754,2,2,2,2,4,2,99,9,9,8300,121,12,999,999,4,38,TRUE
126,1,1,1,2,2,9,9,9,1,812,2,2,2,1,532,1,2,3,4,4,2,99,4,9,1101,121,2,999,999,4,49,TRUE
127,1,2,3,1,2,9,9,9,1,313,4,2,3,99,999,9,9,9,2,1,0,99,2,9,1101,121,7,999,999,4,67,TRUE
128,2,3,1,2,2,9,9,9,1,911,2,2,3,7,996,9,2,4,3,3,0,99,6,9,1101,121,14,999,999,4,73,TRUE
129,1,5,4,2,8,9,9,9,6,999,9,9,9,99,999,9,9,9,9,4,1,99,2,9,1101,121,4,999,999,4,27,FALSE
130,1,4,1,2,2,9,9,9,1,723,2,2,2,1,818,2,2,2,5,97,1,99,1,9,1101,121,2,999,999,4,53,TRUE
131,2,2,1,2,2,9,9,9,7,999,9,2,9,7,996,9,2,4,9,2,0,99,3,9,1101,121,2,999,999,4,79,TRUE
132,2,3,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,4,3,1,99,9,9,8300,121,10,999,999,4,32,TRUE
133,2,2,1,2,2,9,9,9,97,521,1,9,3,1,931,2,2,2,1,5,3,99,5,9,1101,121,14,999,999,4,41,TRUE
134,2,4,3,2,2,9,9,9,8,754,2,9,2,99,999,9,9,9,1,1,99,99,1,9,1101,121,9,999,999,4,62,TRUE
135,2,5,3,2,2,9,9,9,7,911,4,2,3,99,999,9,9,9,1,1,99,99,3,9,1101,121,2,999,999,2,67,TRUE
136,2,4,4,2,2,9,9,9,1,815,2,2,2,99,999,9,9,9,9,2,1,99,3,9,1101,121,2,999,999,4,39,TRUE
137,2,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,5,5,2,99,6,9,1101,121,9,999,999,4,24,FALSE
138,2,7,4,1,1,9,9,9,1,222,1,2,3,99,999,9,9,9,5,2,0,99,1,9,1101,121,1,999,999,4,39,TRUE
139,2,3,4,2,2,9,9,9,7,999,9,7,9,99,999,9,9,9,3,2,0,99,2,9,1000,121,2,999,999,2,40,TRUE
140,1,4,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,6,3,99,5,9,1101,121,7,999,999,4,24,FALSE
141,1,1,2,2,2,9,9,9,7,833,2,1,3,99,999,9,9,9,1,1,0,99,6,9,1000,121,2,999,999,4,76,TRUE
142,1,4,4,2,2,9,9,9,1,522,4,2,3,99,999,9,9,9,2,4,0,99,6,9,1101,121,8,999,999,4,66,TRUE
143,1,4,4,2,2,9,9,9,1,932,2,2,2,99,999,9,9,9,5,2,0,99,3,9,1101,121,14,999,999,4,48,TRUE
145,1,7,4,2,2,9,9,9,1,235,1,1,3,99,999,9,9,9,5,1,99,99,3,9,1101,121,3,999,999,4,46,TRUE
146,2,2,1,2,2,9,9,9,1,996,9,2,4,1,996,9,2,4,3,11,5,99,2,9,1101,121,8,999,999,4,46,TRUE
148,2,2,4,2,2,9,9,9,5,512,1,2,3,99,999,9,9,9,1,4,2,99,1,9,1101,121,2,999,999,2,50,TRUE
150,1,1,1,2,2,9,9,9,7,713,2,2,2,7,911,2,7,3,9,6,1,99,3,9,1101,121,14,999,999,4,82,TRUE
151,1,5,4,2,1,9,9,9,1,996,9,2,4,99,999,9,9,9,3,2,0,99,1,9,1101,121,8,999,999,4,31,TRUE
152,1,4,4,2,2,9,9,9,7,832,2,2,3,99,999,9,9,9,3,2,0,99,2,9,1101,121,12,999,999,4,58,TRUE
154,1,3,3,2,2,9,9,9,1,723,4,2,2,99,999,9,9,9,3,6,1,99,2,9,1101,121,2,999,999,4,66,FALSE
155,2,4,1,2,2,9,9,9,8,999,9,9,9,1,996,9,2,4,3,3,1,99,3,9,1101,121,2,999,999,4,30,TRUE
156,1,2,1,2,2,9,9,9,1,931,2,2,2,1,752,2,2,2,2,4,0,99,2,9,1101,121,4,999,999,2,54,TRUE
157,2,6,3,2,2,9,9,9,1,334,1,2,3,99,999,9,9,9,4,3,1,99,3,9,1101,121,1,999,999,4,46,TRUE
159,2,4,1,2,2,9,9,9,8,999,9,9,9,1,832,2,2,3,3,2,98,99,3,9,1101,121,2,999,999,4,69,TRUE
160,2,2,4,2,2,9,9,9,8,911,2,9,3,99,999,9,9,9,1,1,99,99,4,9,1101,121,2,999,999,4,78,TRUE
161,2,2,1,2,2,9,9,9,8,999,9,9,9,1,722,2,2,2,3,2,97,99,6,9,1000,121,11,999,999,2,64,TRUE
162,1,5,3,2,2,9,9,9,5,522,1,2,3,99,999,9,9,9,3,3,2,99,2,9,1101,121,1,999,999,4,54,TRUE
163,1,2,1,2,2,9,9,9,5,931,2,2,2,1,911,2,2,3,1,4,1,99,9,9,8300,121,2,999,999,4,36,TRUE
164,2,2,4,2,2,9,9,9,1,911,4,2,3,99,999,9,9,9,9,4,0,99,1,9,1101,121,1,999,999,4,55,TRUE
167,1,4,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,2,0,99,2,9,1101,121,2,999,999,4,24,TRUE
168,2,3,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,4,5,2,99,6,9,1000,121,2,999,999,4,36,TRUE
169,2,2,3,2,2,9,9,9,7,911,2,2,3,99,999,9,9,9,9,4,1,99,5,9,1101,121,2,999,999,4,80,TRUE
170,1,2,4,2,2,9,9,9,7,721,2,1,2,99,999,9,9,9,3,1,99,99,1,9,1101,121,14,999,999,4,70,TRUE
172,1,3,1,1,2,9,9,9,1,818,2,2,2,10,999,9,9,9,4,5,3,99,2,9,1000,121,2,999,999,4,38,TRUE
173,2,1,1,2,2,9,9,9,97,911,2,9,3,7,962,2,2,3,1,8,2,99,3,9,1101,121,4,999,999,2,58,TRUE
174,1,2,1,1,2,9,9,9,7,833,2,2,3,8,999,9,9,9,4,5,3,99,1,9,1101,121,2,999,999,4,67,TRUE
175,1,2,1,2,2,9,9,9,7,141,4,2,3,1,141,1,2,3,2,4,2,99,6,9,1000,121,2,999,999,4,43,TRUE
176,2,2,1,2,2,9,9,9,1,713,2,1,2,1,512,1,1,3,3,4,97,99,6,9,1000,121,2,999,999,4,61,TRUE
179,1,4,1,1,2,9,9,9,1,812,2,2,2,8,999,9,9,9,3,5,3,99,6,9,1000,121,2,999,999,4,48,FALSE
181,2,3,1,2,2,9,9,9,8,999,9,9,9,1,818,2,2,2,5,4,2,99,6,9,1000,121,2,999,999,4,38,TRUE
182,2,4,7,2,2,9,9,9,1,911,4,2,3,99,999,9,9,9,3,4,1,99,1,9,1101,121,4,999,999,2,48,TRUE
183,1,5,1,2,2,9,9,9,5,522,1,2,3,1,911,2,2,3,4,2,0,99,1,9,1101,121,10,999,999,4,35,TRUE
184,2,4,4,2,2,9,9,9,1,522,4,2,3,99,999,9,9,9,1,4,0,99,6,9,1000,121,8,999,999,4,26,FALSE
185,1,3,4,2,1,9,9,9,1,512,1,2,3,99,999,9,9,9,2,2,0,99,6,9,1000,121,12,999,999,4,28,FALSE
187,1,5,4,2,2,9,9,9,1,235,4,2,3,99,999,9,9,9,3,1,99,99,2,9,1101,121,9,999,999,4,67,TRUE
188,2,5,4,2,2,9,9,9,1,996,9,2,4,99,999,9,9,9,9,4,1,99,2,9,1101,121,2,999,999,4,25,FALSE
189,2,2,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,5,2,99,1,9,1101,121,2,999,999,4,25,TRUE
190,2,2,3,2,2,9,9,9,97,996,9,9,4,99,999,9,9,9,1,6,2,99,2,9,1101,121,14,999,999,4,55,TRUE
192,2,3,1,2,2,9,9,9,1,522,4,2,3,1,931,4,2,2,4,5,1,99,2,9,1101,121,6,999,999,4,44,TRUE
194,1,4,1,1,1,9,9,9,1,541,1,2,3,8,999,9,9,9,9,6,1,99,3,9,1101,121,2,999,999,4,48,TRUE
196,1,3,1,2,2,9,9,9,1,931,4,2,2,8,999,9,9,9,1,6,2,99,6,9,1000,121,11,999,999,2,27,TRUE
197,1,2,4,2,2,9,9,9,5,962,2,2,3,99,999,9,9,9,1,3,1,99,2,9,1101,121,8,999,999,4,47,TRUE
198,1,2,1,2,2,9,9,9,1,722,4,2,2,7,999,9,1,9,5,6,4,99,1,9,1101,121,2,999,999,2,61,TRUE
199,2,3,1,2,8,9,9,9,8,999,9,9,9,1,132,1,2,3,9,3,0,99,3,9,1101,121,2,999,999,4,28,TRUE
200,2,2,2,2,2,9,9,9,7,911,4,2,3,99,999,9,9,9,1,5,2,99,1,9,1101,121,2,999,999,4,83,TRUE
201,2,5,4,2,2,9,9,9,97,999,9,9,9,99,999,9,9,9,2,4,1,99,6,9,1101,121,14,999,999,4,41,TRUE
203,2,4,3,2,2,9,9,9,1,911,2,2,3,99,999,9,9,9,3,2,1,99,2,9,1101,121,14,999,999,4,68,TRUE
205,1,3,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,5,1,99,9,9,8300,121,2,999,999,4,24,FALSE
208,2,2,1,2,2,9,9,9,10,999,9,9,9,1,996,9,2,4,9,2,0,99,2,9,1101,121,2,999,999,4,53,TRUE
209,2,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,4,0,99,1,9,1101,121,2,999,999,4,24,FALSE
210,2,4,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,1,5,4,99,1,9,1101,121,6,999,999,4,38,TRUE
211,2,4,1,2,2,9,9,9,8,999,9,9,9,1,421,1,1,3,3,3,1,99,2,9,1101,121,2,999,999,4,54,TRUE
213,2,3,3,2,7,9,9,9,5,911,4,2,3,99,999,9,9,9,9,3,1,99,1,9,9998,121,2,999,999,4,48,TRUE
215,2,5,4,2,2,9,9,9,1,522,4,2,3,99,999,9,9,9,1,5,3,99,1,9,1101,121,13,999,999,2,33,TRUE
216,2,3,4,2,2,9,9,9,5,522,4,2,3,99,999,9,9,9,9,4,0,99,6,9,1000,121,2,999,999,4,25,FALSE
218,1,4,4,2,2,9,9,9,1,541,1,1,3,99,999,9,9,9,5,3,0,99,3,9,1101,121,2,999,999,4,33,TRUE
219,1,4,4,2,2,9,9,9,1,132,1,2,3,99,999,9,9,9,2,97,0,99,6,9,1101,121,7,999,999,4,27,TRUE
220,2,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,4,3,0,99,3,9,1101,121,9,999,999,4,24,FALSE
221,2,2,1,2,2,9,9,9,8,999,9,9,9,1,961,2,1,3,1,5,3,99,1,9,1101,121,2,999,999,4,33,TRUE
222,2,3,1,2,8,9,9,9,8,999,9,9,9,1,723,2,2,2,9,5,1,99,3,9,1101,121,2,999,999,4,64,TRUE
224,2,3,1,2,2,9,9,9,8,999,9,9,9,1,996,4,2,4,1,4,2,99,1,9,1101,121,9,999,999,4,32,TRUE
226,2,3,3,2,2,9,9,9,1,142,1,2,3,99,999,9,9,9,1,3,0,99,1,9,1101,121,2,999,999,4,57,TRUE
227,1,2,1,2,2,9,9,9,1,933,2,2,9,8,999,9,9,9,3,5,3,99,9,9,8300,121,2,999,999,4,31,TRUE
228,2,5,1,2,2,9,9,9,8,999,9,9,9,1,996,9,2,4,9,6,4,99,4,9,1101,121,9,999,999,4,48,TRUE
230,2,2,3,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,2,3,0,99,6,9,1000,121,2,999,999,4,53,TRUE
231,1,2,1,2,1,9,9,9,1,931,4,2,2,1,334,1,1,3,2,4,0,99,5,9,1101,121,2,999,999,4,66,TRUE
232,1,1,1,2,2,9,9,9,1,931,4,2,2,8,999,9,9,9,1,4,0,99,9,9,8300,121,2,999,999,4,62,TRUE
233,1,8,4,1,2,9,9,9,1,231,1,1,3,99,999,9,9,9,5,1,99,99,1,9,1101,121,3,999,999,4,59,FALSE
235,2,6,1,2,2,9,9,9,8,999,9,9,9,1,723,2,2,2,5,6,1,99,5,9,1101,121,14,999,999,4,62,TRUE
238,1,2,1,2,2,9,9,9,1,931,4,2,2,10,999,9,9,9,9,5,3,99,3,9,1101,121,2,999,999,4,54,TRUE
241,2,1,2,2,2,9,9,9,1,541,1,2,3,99,999,9,9,9,3,2,0,99,6,9,1101,121,10,999,999,4,57,TRUE
242,1,5,1,1,1,9,9,9,1,522,1,2,3,8,999,9,9,9,3,4,2,99,1,9,1101,121,2,999,999,4,35,TRUE
243,2,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,5,4,0,99,6,9,1101,121,3,999,999,4,30,TRUE
244,1,4,4,2,2,9,9,9,1,723,4,2,2,99,999,9,9,9,2,2,0,99,1,9,1101,121,1,999,999,4,44,TRUE
246,2,4,1,8,2,9,9,9,8,999,9,9,9,1,996,9,2,4,1,5,3,99,2,9,1101,121,4,999,999,2,41,TRUE
247,2,5,1,2,2,9,9,9,1,334,1,2,3,10,999,9,9,9,4,4,1,99,2,9,1000,121,1,999,999,4,31,TRUE
248,2,5,1,2,2,9,9,9,7,222,1,7,3,7,932,2,2,2,9,2,0,99,3,9,1101,121,4,999,999,4,85,TRUE
